"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"22-2826756","Holy Name of Camden Ministries","509 State St","CAMDEN","NJ","8102","139515","140552","0","142580","0","142580","Religion Related, Spiritual Development","f990","2022","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"22-2846440","Latin American Economic Development Association Inc","433 Market St","CAMDEN","NJ","8102","540206","482388","657013","1526861","11","869848","Community Improvement, Capacity Building","f990","2022","Management Services for Small Business/Entrepreneurs","Candid","Camden (County, 2022)"
"22-2846727","Quality Independent Living Corp","157 S White Horse Pike","AUDUBON","NJ","8106","333566","338670","905863","258080","1","-647783","Human Services - Multipurpose and Other","f990","2022","Residential, Custodial Care (Group Home)","Candid","Camden (County, 2022)"
"22-2854823","Cerebral Palsy Adult Activity Center of Camden County Inc","431 S Park Dr","COLLINGSWOOD","NJ","8108","397081","437389","115663","45234","10","-70429","Diseases, Disorders, Medical Disciplines","f990","2021","Birth Defects","Candid","Camden (County, 2022)"
"22-2870647","Camden City Garden Club Inc","3 RIVERSIDE DR","CAMDEN","NJ","8103","264974","258305","8017","112207","19","104190","Food, Agriculture, and Nutrition","f990","2021","Other Food, Agriculture, and Nutrition N.E.C.","Candid","Camden (County, 2022)"
"22-2873144","Genesis Counseling Center Inc","566 Haddon Ave","COLLINGSWOOD","NJ","8108","1987411","1905580","387306","792595","71","405289","Mental Health, Crisis Intervention","f990","2022","Counseling Support Groups","Candid","Camden (County, 2022)"
"22-2914004","Voorhees Animal Orphanage Inc","419 Cooper Rd","VOORHEES","NJ","8043","1140929","1215272","627878","3018615","50","2390737","Animal-Related","f990","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"22-2994176","New Jersey Association for Biomedical Research Inc","PO Box 484","ATCO","NJ","8004","179812","168952","45000","468818","0","423818","Medical Research","f990","2021","Biomedicine, Bioengineering","Candid","Camden (County, 2022)"
"22-2994497","Multiple Sclerosis Handicapped Housing Inc","587 Haddon Ave","COLLINGSWOOD","NJ","8108","442247","418970","1704281","1785686","0","81405","Diseases, Disorders, Medical Disciplines","f990","2021","Nerve, Muscle and Bone Diseases","Candid","Camden (County, 2022)"
"22-3035909","Camden County Workforce Development Board Inc","1111 Marlkress Rd","CHERRY HILL","NJ","8003","848740","660566","27770","1242264","5","1214494","Community Improvement, Capacity Building","f990","2021","Promotion of Business (Chambers of Commerce)","Candid","Camden (County, 2022)"
"22-3043177","Vnhs Foundation Inc","PO Box 250","RUNNEMEDE","NJ","8078","740089","0","76234","4744427","0","4668193","Health","f990","2021","Home Health Care (includes Visiting Nurse Associations)","Candid","Camden (County, 2022)"
"22-3069127","Interfaith Caregivers of Haddonfield Inc","PO Box 186","HADDONFIELD","NJ","8033","279778","213894","0","600435","4","600435","Human Services - Multipurpose and Other","f990","2021","Senior Centers/Services","Candid","Camden (County, 2022)"
"22-3079967","Collingswood Athletic Hall of Fame","PO Box 512","COLLINGSWOOD","NJ","8108","62105","66202","0","414255","0","414255","Arts, Culture, and Humanities","f990","2021","Museum & Museum Activities","Candid","Camden (County, 2022)"
"22-3083671","Voorhees Soccer Association","PO Box 1135","VOORHEES","NJ","8043","349540","295842","0","214903","0","214903","Recreation, Sports, Leisure, Athletics","f990","2021","Soccer Clubs/Leagues","Candid","Camden (County, 2022)"
"22-3083722","Camden County Council On Alcoholism & Drug Abuse Inc","1 Alpha Ave Ste 22","VOORHEES","NJ","8043","633990","528827","13346","542685","4","529339","Mental Health, Crisis Intervention","f990","2021","Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment","Candid","Camden (County, 2022)"
"22-3113975","The Michaels Organization Educational Foundation","PO Box 90708","CAMDEN","NJ","8101","1348603","1493058","26271","283696","0","257425","Human Services - Multipurpose and Other","f990","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"22-3114500","Cathedral Soup Kitchen Inc","1514 Federal St","CAMDEN","NJ","8105","6054060","5181444","828895","10231641","67","9402746","Food, Agriculture, and Nutrition","f990","2021","Food Service, Free Food Distribution Programs","Candid","Camden (County, 2022)"
"22-3131140","Philadelphia Flyers Alumni Association Inc","PO Box 8484","CHERRY HILL","NJ","8002","302484","227170","361916","438744","0","76828","Education","f990","2021","Alumni Associations","Candid","Camden (County, 2022)"
"22-3134191","Friends of the Cherry Hill Free Public Library Incorporated","1100 Kings Hwy N","CHERRY HILL","NJ","8034","41591","34440","0","449791","0","449791","Education","f990","2022","Libraries, Library Science","Candid","Camden (County, 2022)"
"22-3144143","United States Police Canine Association Inc","23 BROMLEY DR","SICKLERVILLE","NJ","8081","22383","10430","0","14087","0","14087","Crime, Legal Related","f990","2021","Professional Societies, Associations","Candid","Camden (County, 2022)"
"22-3166974","Holy Redeemer Hospice Inc","PO Box 250","RUNNEMEDE","NJ","8078","3143269","3298733","54695478","53331087","33","-1364391","Human Services - Multipurpose and Other","f990","2021","Hospice","Candid","Camden (County, 2022)"
"22-3182410","Personalized Independent Living Oportunities & Traing Serv Inc","289 Jackson Rd","BERLIN","NJ","8009","6611958","5531310","2928735","3086583","213","157848","Human Services - Multipurpose and Other","f990","2021","Developmentally Disabled Services/Centers","Candid","Camden (County, 2022)"
"22-3229121","Urbanpromise Ministries Inc","3700 Rudderow St","PENNSAUKEN","NJ","8110","6909584","4943196","1748595","8769553","150","7020958","Youth Development","f990","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"22-3242446","Parkside Business & Community in Partnership Inc","1487 Kenwood Ave","CAMDEN","NJ","8103","903627","904893","1672012","3148061","5","1476049","Community Improvement, Capacity Building","f990","2021","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"22-3246280","The Ritz Theatre Company Inc","915 White Horse Pike","HADDON TOWNSHIP","NJ","8107","936241","449676","419526","667677","18","248151","Arts, Culture, and Humanities","f990","2021","Theater","Candid","Camden (County, 2022)"
"22-3252033","Sos Beagle Rescue Inc","814 Judith Ln","ATCO","NJ","8004","128761","71183","0","701019","0","701019","Animal-Related","f990","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"22-3267159","Southern New Jersey Regional Early Intervention Collaborative Inc","1044 S Route 73 Ste A","BERLIN","NJ","8009","1454753","1456389","263369","315155","17","51786","Employment, Job Related","f990","2022","Labor Unions/Organizations","Candid","Camden (County, 2022)"
"22-3269184","Camden County College Foundation Inc","PO Box 200","BLACKWOOD","NJ","8012","857112","464992","48026","3386278","0","3338252","Education","f990","2021","Single Organization Support","Candid","Camden (County, 2022)"
"22-3277915","Discovery Ministries Inc","PO Box 76","HADDONFIELD","NJ","8033","250920","95625","0","762440","0","762440","Religion Related, Spiritual Development","f990","2021","Christian","Candid","Camden (County, 2022)"
"22-3282789","Waterford Township E M S Inc","192 A AVE","ATCO","NJ","8004","823351","819207","173398","314661","36","141263","Health","f990","2021","Ambulance/Emergency Transport","Candid","Camden (County, 2022)"
"22-3284805","Mainstage Center for the Arts Inc","27 S Black Horse Pike","BLACKWOOD","NJ","8012","814070","334829","254132","616524","25","362392","Arts, Culture, and Humanities","f990","2021","Performing Arts Centers","Candid","Camden (County, 2022)"
"22-3292183","Camden Center for Law and Social Justice Inc","509 State St","CAMDEN","NJ","8102","654712","650213","25440","505135","6","479695","Crime, Legal Related","f990","2021","Legal Services","Candid","Camden (County, 2022)"
"22-3317004","Collegium Center for Faith and Culture Inc","43 W MAPLE AVE","MERCHANTVILLE","NJ","8109","125649","33609","0","364670","0","364670","Religion Related, Spiritual Development","f990","2022","Roman Catholic","Candid","Camden (County, 2022)"
"22-3320553","My Fathers House Inc","104 N King St","GLOUCESTER CITY","NJ","8030","702152","682393","19603","515122","11","495519","Human Services - Multipurpose and Other","f990","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"22-3358521","Audubon Fire Department Inc","221 W Merchant St","AUDUBON","NJ","8106","68750","61755","0","389938","0","389938","Public Safety","f990","2021","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"22-3361860","Haddonfield Soccer Club Inc","PO Box 544","HADDONFIELD","NJ","8033","451970","351234","0","470416","0","470416","Recreation, Sports, Leisure, Athletics","f990","2022","Soccer Clubs/Leagues","Candid","Camden (County, 2022)"
"22-3370728","Pet Pals of Southern New Jersey Inc","664 N Black Horse Pike","RUNNEMEDE","NJ","8078","32539","44247","0","345743","1","345743","Community Improvement, Capacity Building","f990","2021","Community Service Clubs (Kiwanis, Lions, Jaycees, etc.)","Candid","Camden (County, 2022)"
"22-3377944","Highland Youth Soccer Club Inc","40 Annapolis Dr","SICKLERVILLE","NJ","8081","181443","231250","0","86120","0","86120","Recreation, Sports, Leisure, Athletics","f990","2021","Soccer Clubs/Leagues","Candid","Camden (County, 2022)"
"22-3401491","Global Fu Kuo Charity Foundation Inc","PO Box 66","MAGNOLIA","NJ","8049","41900","33066","0","16008","0","16008","Arts, Culture, and Humanities","f990","2021","Arts, Cultural Organizations - Multipurpose","Candid","Camden (County, 2022)"
"22-3487989","Senior Housing Corporation Iii","587 Haddon Ave","COLLINGSWOOD","NJ","8108","1222857","1507187","8373752","6246509","5","-2127243","Housing, Shelter","f990","2021","Senior Citizens' Housing/Retirement Communities","Candid","Camden (County, 2022)"
"22-3494324","Leap Academy Charter School","549 COOPER ST","CAMDEN","NJ","8102","26837765","24822346","41179967","46262848","271","5082881","Education","f990","2021","Charter Schools","Candid","Camden (County, 2022)"
"22-3512206","Woodland Community Development Corporation Morgan Village","2300 S 8TH STREET WOODLAND AVE","CAMDEN","NJ","8104","90000","90000","10000","10000","0","0","Community Improvement, Capacity Building","f990","2022","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"22-3520482","Refuge Community Development Corporation","1109 Kaighn Ave","CAMDEN","NJ","8103","12179","10243","0","2771","0","2771","Community Improvement, Capacity Building","f990","2020","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"22-3532793","Generations Inc","10 Foster Ave Ste 1a","GIBBSBORO","NJ","8026","62020","59431","0","52246","0","52246","Community Improvement, Capacity Building","f990","2021","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"22-3550941","Pine Hill Fire Department Inc","1109 Erial Rd","PINE HILL","NJ","8021","149257","109306","440824","1537770","0","1096946","Public Safety","f990","2021","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"22-3562765","Camden County Emerald Society Pipes and Drums Inc","306 W Park Blvd","HADDONFIELD","NJ","8033","35066","41631","0","4674","0","4674","Arts, Culture, and Humanities","f990","2021","Music Groups, Bands, Ensembles","Candid","Camden (County, 2022)"
"22-3563214","Winslow Emergency Medical Services Foundation Inc","PO Box 3","CEDAR BROOK","NJ","8018","2124772","1678247","100531","2190779","41","2090248","Health","f990","2021","Ambulance/Emergency Transport","Candid","Camden (County, 2022)"
"22-3563312","Bnai Brith Chesilhurst House Inc","124 White Horse Pike","WATERFORD WORKS","NJ","8089","38212","113163","25960","1688903","3","1662943","Health","f990","2021","Nursing, Convalescent (Geriatric and Nursing)","Candid","Camden (County, 2022)"
"22-3589017","Washington Township Ice Hockey Club Inc","PO Box 643","BLACKWOOD","NJ","8012","67968","77375","0","14529","0","14529","Recreation, Sports, Leisure, Athletics","f990","2022","Winter Sports (Snow and Ice)","Candid","Camden (County, 2022)"
"22-3589468","Healey Education Foundation Inc","89 N Haddon Ave Ste C","HADDONFIELD","NJ","8033","1877064","1811695","78723","664872","7","586149","International, Foreign Affairs, and National Security","f990","2021","Promotion of International Understanding","Candid","Camden (County, 2022)"
"22-3589768","Somerdale Fire Department Inc","101 Park Ave","SOMERDALE","NJ","8083","66950","65246","141512","389706","0","248194","Public Safety","f990","2021","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"22-3604324","Home Port Alliance for the USS New Jersey Inc","62 Battleship Pl","CAMDEN","NJ","8103","6155641","3821179","1664507","22163398","91","20498891","Arts, Culture, and Humanities","f990","2021","History Museums","Candid","Camden (County, 2022)"
"22-3636813","One Accord Inc","PO Box 594","AUDUBON","NJ","8106","435379","478094","26047","174175","22","148128","Human Services - Multipurpose and Other","f990","2022","Children's and Youth Services","Candid","Camden (County, 2022)"
"22-3665137","Collingswood Foundation for the Arts Inc","315 White Horse Pike","COLLINGSWOOD","NJ","8107","303285","380407","5359897","2405143","39","-2954754","Arts, Culture, and Humanities","f990","2020","Performing Arts","Candid","Camden (County, 2022)"
"22-3665288","Politz Day School of Cherry Hill A New Jersey Nonprofit Corporation","720 Cooper Landing Rd","CHERRY HILL","NJ","8002","3629286","2730714","122574","6178988","79","6056414","Education","f990","2022","Primary/Elementary Schools","Candid","Camden (County, 2022)"
"22-3669704","Center for Family Services Inc","1 ALPHA AVE","VOORHEES","NJ","8043","87191691","86100832","29701841","40317393","1798","10615552","Human Services - Multipurpose and Other","f990","2021","Human Service Organizations","Candid","Camden (County, 2022)"
